source,category_id,base_sku,sku_id,issue_type,sku_oed,sku_desc,sku_image,raw_label_title,raw_image,distinct_oed,distinct_images
phase1b,330,,"ESTHER-AQ-8",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 8 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
phase1b,330,,"JULIANA-MU-M/L",missing_oed,"","Juliana Mesh Sarong Wrap Skirt - M/L - size 7 to 16 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/juliana-sarong-mesh-ss23-swim.jpg?v=1756432996",,,,
phase1b,330,,"JULIANA-MU-S/M",missing_oed,"","Juliana Mesh Sarong Wrap Skirt - S/M - size 4 to 6 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/juliana-sarong-mesh-ss23-swim.jpg?v=1756432996",,,,
phase1b,330,,"KATINKA-BK-10",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 10 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KATINKA-BK-12",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 12 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KATINKA-BK-14",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 14 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KATINKA-BK-16",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 16 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KATINKA-BK-7",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 7 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KATINKA-BK-8",missing_oed,"","Katinka Long Sleeve Rashguard Swimsuit - 8 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/katinka-bk_8c7122b3-59df-4b62-8857-97e47b822d8f.webp?v=1761857372",,,,
phase1b,330,,"KINSLEY-MU-10",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 10 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"KINSLEY-MU-12",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 12 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"KINSLEY-MU-14",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 14 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"KINSLEY-MU-16",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 16 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"KINSLEY-MU-7",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 7 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"KINSLEY-MU-8",missing_oed,"","Kinsley Ruffle Printed Butterfly Bikini Swimsuit - 8 / Black","https://cdn.shopify.com/s/files/1/1608/5387/files/KINSLEY_b9821d52-802c-4264-a4ad-7c4d0e55f449.jpg?v=1756432974",,,,
phase1b,330,,"LUPITA-MU-10",missing_oed,"","Lupita Zebra One Piece Swimsuit - 10 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"LUPITA-MU-12",missing_oed,"","Lupita Zebra One Piece Swimsuit - 12 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"LUPITA-MU-14",missing_oed,"","Lupita Zebra One Piece Swimsuit - 14 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"LUPITA-MU-16",missing_oed,"","Lupita Zebra One Piece Swimsuit - 16 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"LUPITA-MU-7",missing_oed,"","Lupita Zebra One Piece Swimsuit - 7 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"LUPITA-MU-8",missing_oed,"","Lupita Zebra One Piece Swimsuit - 8 / Black White","https://cdn.shopify.com/s/files/1/1608/5387/files/LUPITA-MU-zebra-print-one-piece-front.jpg?v=1756433042",,,,
phase1b,330,,"MAXINE-MU-10",missing_oed,"","Maxine Pineapple Tankini Two Piece Swimsuit - 10 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/MAXINE-1_47dffb9c-e033-4b19-b0ce-fceacacc1745.jpg?v=1756432971",,,,
phase1b,330,,"MAXINE-MU-12",missing_oed,"","Maxine Pineapple Tankini Two Piece Swimsuit - 12 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/MAXINE-1_47dffb9c-e033-4b19-b0ce-fceacacc1745.jpg?v=1756432971",,,,
phase1b,330,,"MAXINE-MU-14",missing_oed,"","Maxine Pineapple Tankini Two Piece Swimsuit - 14 / Multicolor","https://cdn.shopify.com/s/files/1/1608/5387/files/MAXINE-1_47dffb9c-e033-4b19-b0ce-fceacacc1745.jpg?v=1756432971",,,,
